
Epoch | Accuracy 
[ 5.86 ][ 3.64 ][ 0.62 ][ -2.19 ][ -1.46 ][ -6.23 ][ 0.21 ][ -0.99 ][ 4.43 ][ 0.27 ][ 4.85 ]
[ 0.07 ][ 0.00 ][ -3.33 ][ 3.76 ][ 0.09 ][ 1.32 ][ -2.39 ][ 3.73 ][ -9.97 ][ 2.33 ][ -3.87 ]
[ 0.31 ][ -6.03 ][ 3.66 ][ 2.91 ][ -4.15 ][ -2.69 ][ -1.30 ][ -2.50 ][ -1.72 ][ 3.66 ][ -6.69 ]
[ 0.37 ][ 2.53 ][ 3.87 ][ 0.95 ][ 2.08 ][ 4.15 ][ -2.45 ][ 0.05 ][ -0.93 ][ 2.44 ][ -0.62 ]
[ 0.32 ][ 1.26 ][ 3.45 ][ 0.32 ][ 4.21 ][ -1.63 ][ 1.75 ][ 5.96 ][ -3.25 ][ -2.92 ][ 0.52 ]
[ -3.56 ][ 1.29 ][ 1.33 ][ 3.57 ][ 0.21 ][ 0.91 ][ -2.09 ][ 4.92 ][ -4.25 ][ 5.66 ][ 9.69 ]
[ -5.01 ][ 3.58 ][ 1.47 ][ -2.10 ][ -4.15 ][ 0.34 ][ -1.01 ][ 2.51 ][ -2.69 ][ -6.00 ][ 3.69 ]
[ -3.85 ][ -5.78 ][ -0.83 ][ -1.55 ][ 3.48 ][ -1.82 ][ 4.49 ][ -0.38 ][ 2.03 ][ -0.52 ][ -0.48 ]
[ -1.89 ][ 3.80 ][ 1.03 ][ 1.06 ][ 3.58 ][ -1.30 ][ 0.24 ][ 7.82 ][ -2.74 ][ 5.53 ][ 0.43 ]
[ 3.33 ][ 4.90 ][ -13.47 ][ -1.63 ][ -0.68 ][ 2.66 ][ 0.08 ][ 1.78 ][ -1.68 ][ 4.64 ][ 0.21 ]
[ -2.52 ][ -3.16 ][ 2.30 ][ -4.03 ][ -0.93 ][ 1.70 ][ 0.61 ][ -2.46 ][ 4.37 ][ 0.42 ][ 0.10 ]
[ -2.88 ][ 0.96 ][ -2.65 ][ -1.56 ][ -7.09 ][ 0.86 ][ 2.86 ][ -4.99 ][ -1.62 ][ 3.80 ][ 1.77 ]
[ 5.56 ][ -0.21 ][ -2.53 ][ 2.27 ][ 0.70 ][ 4.36 ][ -0.52 ][ -0.40 ][ 2.07 ][ -1.34 ][ -0.04 ]
[ -0.19 ][ -1.20 ][ -3.48 ][ 5.49 ][ -0.10 ][ 2.11 ][ -0.06 ][ -0.12 ][ -1.67 ][ 1.84 ][ 1.71 ]
[ -2.31 ][ 3.20 ][ -1.83 ][ 4.60 ][ -0.59 ][ -1.19 ][ 0.95 ][ 2.14 ][ 3.64 ][ 5.12 ][ -2.67 ]
[ -1.41 ][ 4.45 ][ 5.17 ][ 2.74 ][ 3.63 ][ -3.26 ][ -3.34 ][ -4.03 ][ -2.66 ][ -3.41 ][ 3.62 ]
[ 3.87 ][ -0.74 ][ -5.48 ][ -0.40 ][ -2.85 ][ -5.51 ][ -2.06 ][ -0.13 ][ -2.21 ][ -2.97 ][ -0.65 ]
[ 3.36 ][ -0.50 ][ -0.56 ][ 2.05 ][ 4.29 ][ 7.08 ][ 3.60 ][ -0.64 ][ 1.26 ][ 1.93 ]

Process finished with exit code 0
